epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,13707.5,1.02996,0.84598,1.21699,0.39572,0.45,0.31214,0.14795,1.91237,2.13466,2.26901,0.004555,0.004555,0.004555
57,13935.2,1.02286,0.83758,1.1992,0.40697,0.44706,0.35529,0.17491,1.88138,2.23255,2.27706,0.004456,0.004456,0.004456
58,14158.9,1.01621,0.81432,1.20116,0.3549,0.40882,0.29887,0.14224,1.89911,2.15852,2.2417,0.004357,0.004357,0.004357
59,14382.5,1.01021,0.82,1.18929,0.40151,0.48235,0.34912,0.16973,1.84378,2.13865,2.20553,0.004258,0.004258,0.004258
60,14614.1,0.9823,0.7747,1.18018,0.45648,0.50145,0.41527,0.20902,1.76622,2.06867,2.17394,0.004159,0.004159,0.004159
61,14841,1.0231,0.82874,1.19346,0.42028,0.41765,0.38724,0.18667,1.90343,2.10768,2.28678,0.00406,0.00406,0.00406
62,15070.8,1.0158,0.8462,1.20748,0.50806,0.50294,0.4542,0.24148,1.75594,1.93698,2.15245,0.003961,0.003961,0.003961
63,15300.5,0.99268,0.80343,1.17387,0.44026,0.43235,0.36412,0.17351,1.82217,2.04668,2.23095,0.003862,0.003862,0.003862
64,15532.2,0.97869,0.80377,1.16926,0.4322,0.52836,0.4001,0.21671,1.74672,1.99665,2.16349,0.003763,0.003763,0.003763
65,15781.9,1.00444,0.79145,1.1853,0.52811,0.43449,0.41901,0.21512,1.93202,1.97569,2.28476,0.003664,0.003664,0.003664
66,16082.2,0.96427,0.79517,1.16557,0.44611,0.43529,0.35252,0.18079,1.80878,2.03502,2.16938,0.003565,0.003565,0.003565
67,16384.9,0.98319,0.78104,1.18353,0.44589,0.44118,0.3564,0.17323,1.90743,2.03851,2.26431,0.003466,0.003466,0.003466
68,16690.3,0.9521,0.77438,1.16213,0.56525,0.47941,0.45238,0.23511,1.75893,1.97851,2.13934,0.003367,0.003367,0.003367
69,16999.4,0.95165,0.76866,1.15678,0.42862,0.46995,0.37169,0.19221,1.86111,2.11206,2.24213,0.003268,0.003268,0.003268
70,17310.9,0.95987,0.73674,1.16887,0.54858,0.44706,0.418,0.21965,1.84155,1.91201,2.25919,0.003169,0.003169,0.003169
71,24266.9,0.94027,0.76357,1.14835,0.52173,0.45882,0.45391,0.22861,1.80138,1.88391,2.21966,0.00307,0.00307,0.00307
72,24605.6,0.9576,0.75053,1.16816,0.56009,0.46176,0.45837,0.24448,1.79194,1.89468,2.19577,0.002971,0.002971,0.002971
73,24935.2,0.93643,0.74812,1.15559,0.48852,0.48824,0.45866,0.22998,1.76131,1.91188,2.14676,0.002872,0.002872,0.002872
74,25260.6,0.93028,0.74577,1.16018,0.5143,0.48235,0.45026,0.23684,1.72147,1.92802,2.08371,0.002773,0.002773,0.002773
